mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.32892546653747556,0.015115371214242364,0.037716245651245116,0.0002828477524462754,0.8,2.0,0.5,800,6,0.1,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 800, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.9126984126984127,0.9153439153439153,0.8253968253968255,0.8597883597883598,0.8515406162464986,0.8729536258948023,0.03541207479123524,41
0.268247127532959,0.010382561708663003,0.046509408950805665,0.016920651922081847,0.9,2.0,0.1,500,6,0.05,0.7,"{'model__subsample': 0.9, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.7}",0.9259259259259258,0.8915343915343915,0.8333333333333334,0.873015873015873,0.8627450980392156,0.8773109243697478,0.030758298622260153,25
0.2465723991394043,0.004800338782972233,0.039405298233032224,0.0024338987962300423,0.8,0.5,0.0,800,3,0.1,0.7,"{'model__subsample': 0.8, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.0, 'model__n_estimators': 800, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.7}",0.9021164021164021,0.8862433862433863,0.8148148148148148,0.865079365079365,0.84593837535014,0.8628384687208216,0.03061846607188912,59
0.38017945289611815,0.025324833328630003,0.04193787574768067,0.008432032600129884,0.9,5.0,0.1,500,6,0.01,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}",0.9338624338624338,0.9021164021164021,0.8492063492063492,0.8809523809523809,0.8627450980392156,0.8857765328353564,0.029900979805102555,5
0.8628856182098389,0.11965117684234775,0.07130227088928223,0.01581392271543826,1.0,5.0,0.1,1000,6,0.03,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 1000, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",0.9074074074074074,0.9047619047619049,0.8333333333333333,0.8756613756613757,0.84593837535014,0.8734204793028322,0.030015539834986813,38
0.36824355125427244,0.04130924389032977,0.07305974960327148,0.022848311801266175,0.9,2.0,0.5,300,3,0.01,0.9,"{'model__subsample': 0.9, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.9}",0.9444444444444444,0.8941798941798942,0.843915343915344,0.8809523809523809,0.8571428571428571,0.8841269841269842,0.034912617325552626,10
0.4237510681152344,0.06965722453545889,0.06058292388916016,0.01426153617178954,1.0,0.5,0.0,500,4,0.03,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.0, 'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",0.925925925925926,0.9021164021164021,0.8201058201058201,0.8677248677248678,0.8543417366946778,0.8740429505135389,0.036924874692328795,36
0.25592775344848634,0.025153020445449564,0.05622467994689941,0.01798924743175101,1.0,0.5,0.5,300,6,0.1,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.5, 'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.9126984126984127,0.9074074074074074,0.8121693121693121,0.8756613756613757,0.8375350140056022,0.869094304388422,0.0391121006804025,54
0.33112187385559083,0.09203761634691109,0.0431732177734375,0.007158530223527622,0.7,1.0,0.1,500,5,0.03,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",0.9153439153439153,0.8941798941798942,0.8465608465608466,0.873015873015873,0.8599439775910364,0.877808901338313,0.024476340540984173,23
0.25410022735595705,0.01959325341395645,0.03773407936096192,0.0007128657688429415,0.9,2.0,0.5,500,6,0.1,0.9,"{'model__subsample': 0.9, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.9285714285714285,0.9074074074074074,0.8359788359788359,0.8624338624338624,0.8487394957983193,0.8766262060379706,0.0354318738411839,29
